Feature,Importance
Route_Historical_Delay_Rate,0.09307244
Weather_Impact,0.07182112
Is_High_Value_Order,0.05012851
Carrier_Historical_Delay_Rate,0.046923067
Vehicle_Maintenance,0.044845004
Is_Express,0.040870108
Carrier_Avg_Rating,0.039411224
Technology_Platform_Fee,0.037030727
Promised_Delivery_Days,0.032872315
Order_Value_INR,0.030166285
Fuel_Cost,0.029065087
Insurance,0.02763879
Fuel_Consumption_L,0.02659678
Customer_Segment,0.025948202
Carrier,0.025933743
Order_Day_of_Week,0.025741242
Category_Historical_Delay_Rate,0.02547043
Product_Category,0.025401773
Packaging_Cost,0.02505072
Order_Day,0.024893047
Distance_KM,0.024319543
Other_Overhead,0.023990596
Destination,0.023723928
Labor_Cost,0.023679785
Order_Month,0.022065949
Traffic_Delay_Minutes,0.021382332
Is_Economy,0.021285027
Priority,0.019858059
Toll_Charges_INR,0.019524837
Cost_to_Value_Ratio,0.018887876
Origin,0.016604938
Has_Weather_Impact,0.015796488
Has_Special_Handling,0.0
Special_Handling,0.0
Is_Weekend_Order,0.0
Is_Month_End,0.0
