Order_ID,Order_Date,Customer_Segment,Priority,Product_Category,Order_Value_INR,Origin,Destination,Special_Handling,Carrier,Promised_Delivery_Days,Actual_Delivery_Days,Delivery_Status,Quality_Issue,Customer_Rating,Delivery_Cost_INR,Route,Distance_KM,Fuel_Consumption_L,Toll_Charges_INR,Traffic_Delay_Minutes,Weather_Impact,Fuel_Cost,Labor_Cost,Vehicle_Maintenance,Insurance,Packaging_Cost,Technology_Platform_Fee,Other_Overhead,Is_Delayed,Delay_Severity,Delay_Days,Delay_Percentage,Cost_to_Value_Ratio,Has_Weather_Impact,Has_Special_Handling,Has_Quality_Issue,Is_Express,Is_Economy,Is_High_Value_Order,Order_Day_of_Week,Order_Month,Order_Day,Is_Weekend_Order,Is_Month_End,Carrier_Historical_Delay_Rate,Carrier_Avg_Rating,Route_Historical_Delay_Rate,Category_Historical_Delay_Rate
ORD000001,2025-10-09,Individual,Express,Industrial,238.73,Kolkata,Hyderabad,,SpeedyLogistics,1.0,2.0,Slightly-Delayed,Perfect,3.0,387.86,Kolkata_to_Hyderabad,152.59,23.02,122.08,21.0,,151.36,110.31,53.0,32.17,37.46,43.77,30.38,1.0,1.0,1.0,100.0,1.6179034747424186,0,0,0,1,0,0,3,10,9,0,0,0.5121951219512195,3.5121951219512195,0.5,0.5652173913043478
ORD000002,2025-09-29,SMB,Express,Industrial,17.01,Hyderabad,Kolkata,,SpeedyLogistics,2.0,3.0,Slightly-Delayed,Minor_Damage,1.0,430.19,Hyderabad_to_Kolkata,362.05,43.98,289.64,33.0,,157.32,146.2,51.61,28.54,21.74,48.64,38.74,1.0,1.0,1.0,50.0,23.886174347584674,0,0,1,1,0,0,0,9,29,0,1,0.5121951219512195,3.5121951219512195,1.0,0.5652173913043478
ORD000003,2025-09-15,SMB,Economy,Industrial,3024.95,Mumbai,Pune,,SpeedyLogistics,10.0,15.0,Severely-Delayed,Minor_Damage,3.0,1039.19,Mumbai_to_Pune,519.74,65.75,415.79,2.0,,322.61,319.74,128.03,58.13,102.91,92.06,55.45,1.0,2.0,5.0,50.0,0.3434260314942415,0,0,1,0,1,1,0,9,15,0,0,0.5121951219512195,3.5121951219512195,0.5,0.5652173913043478
ORD000004,2025-10-13,Individual,Economy,Fashion,56.74,Hyderabad,Ahmedabad,,QuickShip,5.0,5.0,On-Time,Perfect,5.0,599.01,Hyderabad_to_Ahmedabad,540.87,61.85,432.7,112.0,,215.33,194.01,60.87,49.68,45.89,50.4,35.12,0.0,0.0,0.0,0.0,10.374263941808104,0,0,0,0,1,0,0,10,13,0,0,0.25806451612903225,4.096774193548387,0.5,0.4444444444444444
ORD000005,2025-09-08,SMB,Standard,Fashion,19148.65,Chennai,Mumbai,,SpeedyLogistics,4.0,5.0,Slightly-Delayed,Perfect,3.0,537.9,Chennai_to_Mumbai,1251.56,147.54,1001.25,10.0,,191.92,150.42,79.03,48.92,53.35,48.62,52.98,1.0,1.0,1.0,25.0,0.028089286227163418,0,0,0,0,0,1,0,9,8,0,0,0.5121951219512195,3.5121951219512195,1.0,0.4444444444444444
ORD000006,2025-09-21,Individual,Express,Food & Beverage,158.22,Chennai,Dubai,,GlobalTransit,1.0,2.0,Slightly-Delayed,Perfect,4.0,378.99,Chennai_to_Dubai,3041.83,365.82,0.0,0.0,,130.04,107.92,38.85,19.95,32.06,37.26,23.24,1.0,1.0,1.0,100.0,2.3802914206757944,0,0,0,1,0,0,6,9,21,1,0,0.6363636363636364,3.090909090909091,0.5,0.36363636363636365
ORD000007,2025-10-09,Individual,Standard,Electronics,736.82,Pune,Bangalore,,QuickShip,3.0,3.0,On-Time,Perfect,4.0,439.72,Pune_to_Bangalore,854.87,103.85,683.9,10.0,,158.91,121.05,56.67,29.88,40.09,49.61,32.48,0.0,0.0,0.0,0.0,0.5959719172697948,0,0,0,0,0,0,3,10,9,0,0,0.25806451612903225,4.096774193548387,0.0,0.5909090909090909
ORD000008,2025-09-19,Enterprise,Standard,Industrial,4771.54,Chennai,Kolkata,,GlobalTransit,5.0,10.0,Severely-Delayed,Perfect,2.0,836.35,Chennai_to_Kolkata,1430.06,173.95,1144.05,81.0,,280.25,239.41,117.33,55.54,50.56,69.74,61.33,1.0,2.0,5.0,100.0,0.17524211426200723,0,0,0,0,0,1,4,9,19,0,0,0.6363636363636364,3.090909090909091,0.6666666666666666,0.5652173913043478
ORD000009,2025-09-23,SMB,Express,Books,3711.35,Delhi,Hong Kong,,SpeedyLogistics,2.0,2.0,On-Time,Perfect,5.0,414.8,Delhi_to_Hong Kong,3708.13,446.18,0.0,0.0,,144.44,138.58,46.07,28.64,37.51,46.85,28.72,0.0,0.0,0.0,0.0,0.11173515428232791,0,0,0,1,0,1,1,9,23,0,0,0.5121951219512195,3.5121951219512195,0.0,0.2608695652173913
ORD000010,2025-09-11,SMB,Standard,Electronics,7936.32,Hyderabad,Mumbai,Hazmat,GlobalTransit,4.0,9.0,Severely-Delayed,Minor_Damage,3.0,891.65,Hyderabad_to_Mumbai,771.73,88.0,617.39,16.0,Light_Rain,308.43,249.95,130.74,49.87,86.21,95.72,68.28,1.0,2.0,5.0,125.0,0.11233640573896479,1,1,1,0,0,1,3,9,11,0,0,0.6363636363636364,3.090909090909091,0.5,0.5909090909090909
